datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude
12/15/1967 19:30,la plata,md,us,circle,600,10 minutes,bright rotating colors&#44 two objects&#44 one large and one much smaller.,10/19/1999,38.5291667,-76.9755556
12/15/1990 00:30,ocean city,md,us,oval,10800,3 hours,2 hovering discs probing ocean water,5/11/2005,38.3363889,-75.0852778
12/15/1995 19:30,elkridge,md,us,fireball,4,4 seconds,Late December 1995 green fireball with pale green tail flew over I-95 at around 7:30. Also spotted in Annapolis around the same time.,1/7/2000,39.2125,-76.7138889
12/15/1998 00:30,baltimore,md,us,disk,600,10 minutes,..An armada in formation flying over the Baltimore beltway,8/25/2000,39.2902778,-76.6125
12/15/2000 05:30,waldorf,md,us,light,10,10 seconds,A bright green fast moving light.,3/6/2001,38.6244444,-76.9394444
12/15/2003 18:55,salisbury,md,us,changing,900,15 minutes,Vacillating object seen through kitchen window,12/19/2003,38.3605556,-75.5997222
12/15/2009 22:45,preston,md,us,light,300,5 minutes,2 horizontal lights over a field weaving in the air but seemingly still then the 2 lights began circle as if they were orbiting an obje,2/14/2010,38.7125,-75.9102778
12/16/2006 06:30,baltimore,md,us,unknown,600,10 min,Sunlight in the dark.  ((NUFORC Note:  Missile launch from Wallops Island&#44 VA.  PD)),2/1/2007,39.2902778,-76.6125
12/16/2011 22:59,cooksville,md,NA,sphere,300,5 minutes,4 glowing orange spherical objects viewed&#44 flying in some type of formation.,12/17/2011,39.317659,-77.020391
12/17/1998 20:38,severn,md,us,fireball,5,5 seconds,Observed green fireball in South sky falling straight down,1/28/1999,39.1369444,-76.6986111
12/17/2006 23:07,williamsport,md,us,triangle,60,one minute,triangle UFO,6/12/2007,39.6005556,-77.8208333
12/19/2001 10:00,glen dale,md,NA,unknown,1800,30 minutes,Strange Cloud Formation,1/11/2002,38.98761,-76.820527
12/19/2002 22:30,kensington,md,us,chevron,60,one minute,chevron of lights resembling small v-formation of geese; silent; observation lasted approx 1 minute,3/21/2003,39.0255556,-77.0766667
1/2/2007 20:00,clarksburg,md,us,light,1200,20 min,lights in the sky over clarksburg,2/1/2007,39.2386111,-77.2797222
1/2/2008 22:35,waldorf,md,us,circle,600,10 mins (approx.),Very hard to explain&#44 the movement&#44 the actions&#44 and the speed...very wierd.,1/21/2008,38.6244444,-76.9394444
12/20/2012 11:19,great mills,md,us,oval,600,10 minutes,It seems both objects hovered over the elementary and high school that day&#44 which are approx. 2 miles.,2/4/2013,38.2366667,-76.4975
12/20/2012 21:00,annapolis,md,us,light,1800,30 minutes,http://edgewater.patch.com/articles/video-massive-power-outages-in-anne-arundel#video-12661183 This is video that one of us took of the,12/21/2012,38.9783333,-76.4925
12/2/2002 05:17,middle river,md,us,flash,1,second,A large green flash of light.,12/23/2002,39.3341667,-76.4397222
12/2/2002 05:20,queenstown,md,us,circle,120,1 to 2 min.,I usually get up very early to take our dogs out in the AM&#44 usually around 5:15 to 5:30AM.  It was still dark&#44 moon was partially cover,12/23/2002,38.9905556,-76.1580556
1/22/2002 20:00,salisbury,md,us,fireball,20,20 seconds,...a very BRIGHT FIREBALL that cast a shadow upon myself and my family,1/29/2002,38.3605556,-75.5997222
1/22/2003 19:15,salisbury,md,us,light,10,10 seconds,several orange lights pulsating (like flares)&#44 then totally disappeared then reappeared in a different part of the sky.,3/21/2003,38.3605556,-75.5997222
12/2/2010 18:00,silver spring,md,us,other,900,15 min,four large clusters of lights flying in close proximity,1/5/2011,38.9905556,-77.0263889
12/2/2010 19:00,silver spring,md,us,circle,300,approximately five minute,Five to eight orange circles in the sky.,1/5/2011,38.9905556,-77.0263889
1/22/2011 12:40,bel air,md,us,light,60,1 minute,two lights beside eachother  shooting upward str8 into the sky at various speeds,1/31/2011,39.5358333,-76.3486111
12/2/2011 21:10,bel air,md,us,chevron,60,1 minute,Near invisible blue wing&#44 silent&#44 ever so subtle glow.,12/12/2011,39.5358333,-76.3486111
12/22/2011 17:45,baltimore,md,us,cigar,120,2 minutes,Rotating circular object with blinking lights hovers over I-95 in Maryland,1/12/2012,39.2902778,-76.6125
12/23/2006 16:00,williamsport,md,us,triangle,180,3 minutes,Giant triangle UFO spotted.,2/1/2007,39.6005556,-77.8208333
12/23/2007 18:45,bowie,md,us,disk,4,4 seconds,disc shaped&#44 blue /white light UFO flying low and fast,3/4/2008,39.0066667,-76.7794444
12/23/2007 18:45,bowie,md,us,light,5,5 seconds,Bluish white light UFO flying low at high speed above Baltimore Washington Pky&#44 Dec 23&#44 2007,3/4/2008,39.0066667,-76.7794444
12/23/2012 06:10,westminster,md,us,circle,300,5 minutes,Pin-point Red lights&#44 flying in somewhat formation&#44 close to each other,2/4/2013,39.5752778,-76.9961111
12/23/2012 19:00,westminster,md,us,triangle,3600,1 hour,Triangular shaped with flashing red and blue lights that was stationary at 9:30 pm,2/4/2013,39.5752778,-76.9961111
12/23/2013 18:30,waldorf,md,us,triangle,300,5 minutes,Triangular craft followed by multiple conventional planes.,1/10/2014,38.6244444,-76.9394444
12/24/2004 04:00,columbia,md,us,other,3600,over an hour,object looked like a star&#44 but the color changed back and forward,1/11/2005,39.2402778,-76.8397222
12/24/2011 17:45,olney,md,us,light,3,3 seconds,Fast moving very small circular or disk shaped bright bluish-white object moving SW over Olney&#44 MD 5:45 PM,1/12/2012,39.1530556,-77.0672222
12/24/2011 19:30,catonsville,md,us,sphere,120,1-2 minutes,Orange spheres in the sky,1/12/2012,39.2719444,-76.7322222
12/24/2011 21:10,gaithersburg,md,us,circle,600,10 minutes,Lights over Gaithersburg&#44 MD,1/12/2012,39.1433333,-77.2016667
12/25/2000 19:15,fallston,md,us,changing,2700,45 min.,iT IS A VERY BRIGHT WHITE&#44 BRIGHTER THAN ANY STAR&#44 AND IT has LONG PROBES THAT JUT OUT FROM IT WHICH APPEAR TO HAVE RED LIGHTS ON THE E,3/16/2001,39.5144444,-76.4113889
12/25/2012 20:45,landover,md,us,light,25,25 seconds,Five witnesses in the car saw 5 orange lights traveling together side by side.,2/4/2013,38.9338889,-76.8969444
12/26/2011 19:45,maugansville,md,us,formation,60,less than one minute,While walking my dog&#44  I noticed several orange/red lights in the sky.  The number is an approximate guess as a row of townhouses was i,1/12/2012,39.6927778,-77.745
12/26/2013 23:00,glen burnie,md,us,circle,180,3 minutes,I saw a round&#44 orb-shaped object last night.  It was dark&#44 with stars out last night&#44 clear sky.  It had a lot of red flashing lights.,1/10/2014,39.1625,-76.625
12/27/2005 03:20,columbia,md,us,unknown,2,2 seconds,Small reflection moving at 45 degree angle.,2/14/2006,39.2402778,-76.8397222
